,nazov
2023-08-07,"Pondelok 18. týždňa v Cezročnom období [Zelená] alebo Svätých Sixta II., pápeža, a jeho spoločníkov, mučeníkov [Červená] alebo Svätého Kajetána, kňaza [Biela] (ľubovoľná spomienka)"
2023-08-08,"Svätého Dominika, kňaza [Biela] (spomienka)"
2023-08-09,"Svätej Terézie Benedikty od Kríža, panny a mučenice, patrónky Európy [Červená] (sviatok)"
2023-08-10,"Svätého Vavrinca, diakona a mučeníka [Červená] (sviatok)"
2023-08-11,"Svätej Kláry, panny [Biela] (spomienka)"
2023-08-12,"Sobota 18. týždňa v Cezročnom období [Zelená] alebo Svätej Jany Františky de Chantal, rehoľníčky [Biela] alebo Preblahoslavenej Panny Márie v sobotu [Biela] (ľubovoľná spomienka)"
2023-08-13,19. nedeľa v Cezročnom období [Zelená]
2023-08-14,"Svätého Maximiliána Máriu Kolbeho, kňaza a mučeníka [Červená] (spomienka)"
2023-08-15,PRIKÁZANÁ SLÁVNOSŤ: Nanebovzatie Preblahoslavenej Panny Márie [Biela] (slávnosť)
2023-08-16,Streda 19. týždňa v Cezročnom období [Zelená] alebo Svätého Štefana Uhorského [Biela] (ľubovoľná spomienka)
2023-08-17,Štvrtok 19. týždňa v Cezročnom období [Zelená]
2023-08-18,Piatok 19. týždňa v Cezročnom období [Zelená] alebo Svätej Heleny [Biela] (ľubovoľná spomienka)
2023-08-19,"Sobota 19. týždňa v Cezročnom období [Zelená] alebo Svätého Jána Eudesa, kňaza [Biela] alebo Preblahoslavenej Panny Márie v sobotu [Biela] (ľubovoľná spomienka)"
2023-08-20,20. nedeľa v Cezročnom období [Zelená]
2023-08-21,"Svätého Pia X., pápeža [Biela] (spomienka)"
2023-08-22,Preblahoslavenej Panny Márie Kráľovnej [Biela] (spomienka)
2023-08-23,"Streda 20. týždňa v Cezročnom období [Zelená] alebo Svätej Ruženy Limskej, panny [Biela] (ľubovoľná spomienka)"
2023-08-24,"Svätého Bartolomeja, apoštola [Červená] (sviatok)"
2023-08-25,"Piatok 20. týždňa v Cezročnom období [Zelená] alebo Svätého Ľudovíta [Biela] alebo Svätého Jozefa Kalazanského, kňaza [Biela] (ľubovoľná spomienka)"
2023-08-26,Sobota 20. týždňa v Cezročnom období [Zelená] alebo Preblahoslavenej Panny Márie v sobotu [Biela] (ľubovoľná spomienka)
2023-08-27,21. nedeľa v Cezročnom období [Zelená]
2023-08-28,"Svätého Augustína, biskupa a učiteľa Cirkvi [Biela] (spomienka)"
2023-08-29,Mučenícka smrť svätého Jána Krstiteľa [Červená] (spomienka)
2023-08-30,Streda 21. týždňa v Cezročnom období [Zelená]
2023-08-31,Štvrtok 21. týždňa v Cezročnom období [Zelená]
